,specname,z,lmass,n,re,mag,axis_ratio,position_angle,chi2_rad,chi2_2d,quality
54,spec-6025-56098-0299,0.629864,10.94,4.5,4.155999275616271,19.5833,0.9384,52.3279,1139.5573716395088,1.172851,0
55,spec-5972-56334-0591,0.6718961999999999,11.15,5.0,1.8135010974191694,19.5268,0.8221,46.6364,71.79348683213621,1.164786,0
56,spec-4234-55478-0263,0.6463671999999999,10.93,1.25,1.3964921184855743,19.794,0.9119,5.161,526.4575375655289,1.531492,2
57,spec-6429-56274-0657,0.6687465,10.87,6.0,3.350549225388704,19.5366,0.7978,-45.751,2665.3530126038813,1.292587,0
58,spec-5044-56186-0991,0.6476339,11.25,3.75,1.7050810915325367,20.0259,0.8824,32.5658,562.7073931969754,1.295739,2
59,spec-4421-55858-0563,0.6698357,11.15,2.75,1.5637043611567172,19.6367,0.9393,-26.62,101.25670357206266,1.124149,0
60,spec-6480-56340-0263,0.6743596,11.32,1.75,5.388500266288639,19.6975,0.5238,-20.136,219.76734705477529,1.27254,0
61,spec-4404-55513-0595,0.8016521,11.03,6.0,3.459041556931947,19.3437,0.6096,-70.21,189.24553471725795,1.27984,2
62,spec-6697-56419-0723,0.6625863000000001,11.31,1.25,1.8383476763572812,18.6304,0.7542,50.0107,1842.2641949304673,3.661161,0
63,spec-3822-55544-0537,0.7694468000000001,11.07,5.25,4.017830387688892,19.2668,0.7245,35.0151,233.54353363162915,1.472394,0
64,spec-6035-56076-0793,0.7622116999999999,11.1,6.0,3.718100748776343,19.0355,0.8052,-3.9471,7419.26449620229,1.898396,1
65,spec-6474-56362-0953,0.5959032,10.97,5.75,3.3814252216959497,19.4856,0.554,54.5387,23.196598290170886,1.292755,0
66,spec-6596-56331-0727,0.7402652,10.84,3.75,8.337625272925258,18.9864,0.8051,-85.271,4418.984392365839,1.837417,2
67,spec-4403-55536-0765,0.6697908,11.22,5.75,3.00352975129693,18.9906,0.775,-19.206,31.28986397902607,2.120537,1
68,spec-3969-55307-0643,0.6304761,10.89,6.0,2.0120454524377833,19.7072,0.7593,41.0242,465.29425023530956,0.8516144,0
69,spec-6112-56191-0689,0.7348477,11.4,2.25,6.457047450207341,19.272,0.9145,14.6717,3155.4441280806973,1.950254,1
70,spec-7148-56591-0785,0.6877376999999999,10.67,2.5,3.6499666161133693,19.8787,0.7695,-15.355,770.9258169000552,1.330474,0
71,spec-5323-55957-0745,0.6704562,10.68,3.5,2.610131838672564,19.658,0.7625,-30.894,1463.7868481153143,1.432643,0
72,spec-6036-56093-0297,0.5639689999999999,11.11,4.0,2.5361542337234853,19.366,0.7046,-38.247,30.596858124488005,1.265159,0
73,spec-6599-56567-0581,0.6725857,11.11,3.25,2.0958308188736097,19.856,0.6724,23.4449,13.913598346146246,1.372767,0
74,spec-6056-56092-0085,0.621369,10.93,6.0,2.562421174247437,19.6961,0.9228,68.4435,53.38392598134516,1.53763,0
75,spec-3679-55209-0167,0.6412517,11.32,6.0,3.2909070713123323,19.5366,0.7978,-45.751,2665.3530126038813,1.292587,0
76,spec-6404-56330-0523,0.6388441,10.9,6.0,3.1661535128502996,19.3437,0.6096,-70.21,189.24553471725795,1.27984,1
77,spec-3780-55240-0801,0.7020881999999999,11.37,1.25,13.881956266416779,19.2349,0.4782,-59.589,22958.032181296407,8.494116,2
78,spec-4302-55531-0482,0.5850638000000001,11.07,5.25,3.5840200134606013,19.2668,0.7245,35.015,233.54285197884678,1.472395,0
79,spec-5783-56017-0318,0.7548417,11.38,4.5,5.005342943970704,19.5348,0.6824,-42.523,1187.0080031944078,1.081744,0
80,spec-6529-56535-0847,0.7932448000000001,11.3,1.25,2.0046908305303788,19.6083,0.3948,-52.312,31.492053556911582,1.111965,1
81,spec-4989-56069-0043,0.6833569,10.95,1.5,6.669502053264262,19.4008,0.6983,-47.226,955.1007680744491,1.403692,0
82,spec-5306-55926-0779,0.5987826999999999,11.08,6.0,1.1177791479098895,19.4746,0.9236,-78.316,0.3308104127216717,1.215183,1
83,spec-6418-56354-0921,0.6819009,11.12,4.0,2.7623639103122026,19.366,0.7046,-38.247,30.59692650031132,1.265159,0
84,spec-4622-55629-0495,0.7212875,11.27,6.0,4.008483017082079,18.9362,0.6561,-1.8587,922.1130885178411,1.273335,0
85,spec-6425-56298-0249,0.6851701,11.29,3.75,3.2319170226192604,19.5887,0.9372,74.9662,585.6371877537711,1.246419,0
86,spec-4234-55478-0304,0.6438914000000001,11.03,6.0,3.3883867385688293,19.2439,0.8148,-17.633,1135.8655866697115,1.170744,0
87,spec-3768-55564-0713,0.6616956,11.43,3.75,3.5312689204043606,19.313,0.6778,-10.76,128.36187048956566,1.272708,0
88,spec-6197-56191-0285,0.571304,10.92,4.5,6.573688081301068,19.1856,0.7817,46.8693,1931.3886840281561,1.74284,1
89,spec-0780-52370-0008,0.599304,11.0,2.25,4.840316015689552,19.5127,0.8282,87.1779,9281.09349924672,2.031284,0
90,spec-6809-56454-0239,0.7266467,10.91,2.25,2.109422800888966,19.5024,0.7167,13.1257,82.3765677857076,1.191843,0
91,spec-6593-56270-0333,0.8651049000000001,11.55,6.0,2.9859693377363437,19.6759,0.7306,14.8775,200.7727931230557,1.294429,0
